id_cliente,ano_nascimento,nivel_educacao,estado_civil,salario_anual_dolar,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha
5524,1957,Grado o superior,Soltero,58138,0,0,2020-09-04,1
2174,1954,Grado o superior,Soltero,46344,1,1,2022-03-08,0
4141,1965,Grado o superior,Unión de hecho,71613,0,0,2021-08-21,0
6182,1984,Grado o superior,Unión de hecho,26646,1,0,2022-02-10,0
5324,1981,Posgrado,Casado,58293,1,0,2022-01-19,0
7446,1967,Posgrado,Unión de hecho,62513,0,1,2021-09-09,0
965,1971,Grado o superior,Divorciado,55635,0,1,2020-11-13,0
6177,1985,Posgrado,Casado,33454,1,0,2021-05-08,0
4855,1974,Posgrado,Unión de hecho,30351,1,0,2021-06-06,1
5899,1950,Posgrado,Unión de hecho,5648,1,1,2022-03-13,0
1994,1983,Grado o superior,Casado,,1,0,2021-11-15,0
387,1976,Secundaria,Casado,7500,0,0,2020-11-13,0
2125,1959,Grado o superior,Divorciado,63033,0,0,2021-11-15,0
8180,1952,Posgrado,Divorciado,59354,1,1,2021-11-15,0
2569,1987,Grado o superior,Casado,17323,0,0,2020-10-10,0
2114,1946,Posgrado,Soltero,82800,0,0,2020-11-24,1
9736,1980,Grado o superior,Casado,41850,1,1,2020-12-24,0
4939,1946,Grado o superior,Unión de hecho,37760,0,0,2020-08-31,0
6565,1949,Posgrado,Casado,76995,0,1,2021-03-28,0
2278,1985,Secundaria,Soltero,33812,1,0,2020-11-03,0
9360,1982,Grado o superior,Casado,37040,0,0,2020-08-08,0
5376,1979,Grado o superior,Casado,2447,1,0,2021-01-06,0
1993,1949,Posgrado,Casado,58607,0,1,2020-12-23,0
4047,1954,Posgrado,Casado,65324,0,1,2022-01-11,0
1409,1951,Grado o superior,Unión de hecho,40689,0,1,2021-03-18,0
7892,1969,Grado o superior,Soltero,18589,0,0,2021-01-02,0
2404,1976,Grado o superior,Casado,53359,1,1,2021-05-27,0
5255,1986,Grado o superior,Soltero,,1,0,2021-02-20,0
9422,1989,Grado o superior,Casado,38360,1,0,2021-05-31,0
1966,1965,Posgrado,Casado,84618,0,0,2021-11-22,0
6864,1989,Posgrado,Divorciado,10979,0,0,2022-05-22,0
3033,1963,Posgrado,Unión de hecho,38620,0,0,2021-05-11,0
5710,1970,Grado o superior,Unión de hecho,40548,0,1,2020-10-10,0
7373,1952,Posgrado,Divorciado,46610,0,2,2020-10-29,1
8755,1946,Posgrado,Casado,68657,0,0,2021-02-20,0
10738,1951,Posgrado,Soltero,49389,1,1,2021-08-29,0
4339,1970,Posgrado,Casado,67353,0,1,2021-12-31,0
10755,1976,Secundaria,Casado,23718,1,0,2021-09-02,0
8595,1973,Grado o superior,Viuda/Viudo,42429,0,1,2022-02-11,0
2968,1943,Posgrado,Divorciado,48948,0,0,2021-02-01,1
8601,1980,Grado o superior,Casado,80011,0,1,2021-04-29,0
503,1985,Posgrado,Casado,20559,1,0,2021-03-12,0
8430,1957,Grado o superior,Unión de hecho,21994,0,1,2020-12-24,0
7281,1959,Posgrado,Soltero,,0,0,2021-11-05,0
2139,1975,Posgrado,Casado,7500,1,0,2021-10-02,0
